name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,match_results
Francesco Maturi,,0,1,0,,,,,,0,0,0,0,0,0,0,0,,win
Pedro Rizzo,The Rock,20,11,0,185.42,109.32,,Orthodox,5/3/1974,1.93,34,3.02,50,0.26,28,78,0,,loss
Paul Bradley,The Gentleman,23,8,0,175.26,77.11,,Orthodox,6/13/1983,2.26,32,4.13,56,1.12,16,100,0,,win
Nolan Ticman,,4,3,0,167.64,56.7,,Orthodox,5/17/1988,2.57,47,2.53,67,0,0,60,0,,win
David Barrios,,4,8,0,167.64,65.77,,,,0,0,0,0,0,0,0,0,,win
Justin Salas,J-Bomb,12,7,0,172.72,70.31,177.8,Southpaw,3/13/1982,3.42,43,2.96,68,2.43,20,0,0,,win
Scott Lighty,,6,2,0,187.96,92.99,,,,2.91,21,4.24,49,0,0,0,0,,win
Hussain Rasouli,,2,3,0,167.64,61.23,,,,0,0,0,0,0,0,0,0,,win
Ericka Almeida,,7,3,0,167.64,52.16,,Orthodox,3/5/1989,1.07,39,3.33,43,0.5,33,37,0,,win
Hiroyuki Takaya,Streetfight Bancho,21,14,2,167.64,63.05,,Orthodox,6/10/1977,3.18,33,3.16,60,0.9,45,66,0,,win
Rico DiSciullo,,9,2,0,172.72,61.23,,Orthodox,10/12/1986,1.71,33,4.41,56,0,0,0,0,,win
Phil Johns,,30,14,1,157.48,77.11,,Southpaw,10/22/1968,1.2,66,1.8,50,0,0,50,0,,loss
Chuck O'Neil,Cold Steel,17,9,0,187.96,77.11,,,,3.13,37,4.4,72,0,0,0,0,,win
Willie Parks,Slick,5,2,0,177.8,83.91,,,,0,0,0,0,0,0,0,0,,win
Kevin Borjas,El Gallo Negro,9,2,0,165.1,56.7,172.72,Orthodox,12/6/1997,5.4,41,6.63,49,0,0,56,0,,loss
Jhonata Silva,,8,2,0,165.1,56.7,167.64,Orthodox,4/24/1997,4.86,52,9.85,44,0,0,0,0,,win
Stephen Thompson,Wonderboy,17,6,1,182.88,77.11,190.5,Orthodox,2/11/1983,4.2,45,3.04,55,0.27,41,64,0,,win
Humberto Brown Morrison,,4,6,0,177.8,65.77,,,,1.71,50,2.19,62,1.43,25,0,0,,win
Fernando Bettega,,7,5,0,,77.11,,,,0,0,0,0,0,0,0,0,,win
Gabriel Salinas-Jones,,5,2,1,185.42,111.13,,,,0,0,0,0,0,0,0,0,,win
Maurice Eazel,,7,15,0,170.18,61.23,,,,0,0,0,0,0,0,0,0,,win
Anthony Romero,The Genius,8,0,0,180.34,70.31,177.8,Orthodox,2/25/1997,5.87,52,4,65,2,22,100,0,,win
Bruno Souza,The Tiger,10,3,0,177.8,65.77,177.8,Orthodox,3/7/1996,3.73,39,5.3,45,0.5,16,60,0,,win
Jair Farias,Chosen,10,1,0,185.42,65.77,193.04,Orthodox,3/16/1993,3.8,39,5.33,51,0,0,41,0,,win
Scott Adams,,8,1,0,182.88,102.06,,Southpaw,,0,0,0,0,0,0,0,0,,win
Jared Cannonier,The Killa Gorilla,17,6,0,180.34,83.91,195.58,Switch,3/16/1984,4.68,52,4.13,59,0.44,42,63,0,,win
Clay French,,19,7,0,170.18,73.03,,Southpaw,10/7/1980,1.52,50,1.27,16,0,0,100,0,,win
Antonio Dos Santos,Junior Alpha,6,4,0,177.8,83.91,,Orthodox,7/21/1988,5.4,51,3.94,43,0,0,100,0,,win
Yoko Takahashi,,15,12,2,172.72,68.04,,,,5.11,54,8.78,48,0,0,0,0,,win
Charlie Brenneman,The Spaniard,19,8,0,177.8,70.31,177.8,Orthodox,2/9/1981,1.52,56,1.55,46,4.23,42,72,0,,loss
Yurij Kiseliov,Playboy,5,4,0,172.72,83.91,,Orthodox,,4.88,87,0,0,0,0,50,0,,win
Ramona Pascual,,6,5,0,170.18,61.23,167.64,Southpaw,9/23/1988,3.87,57,8.43,46,1.81,19,100,0,,win
Marcos da Matta,Parrumpinha,11,3,0,162.56,65.77,,,,0,0,0,0,0,0,0,0,,win
Mickael Lebout,Ragnar,16,7,1,180.34,70.31,185.42,Orthodox,8/16/1987,2.6,34,2.98,54,0,0,60,0,,win
Joao Roque,,7,2,4,167.64,70.31,,Orthodox,7/22/1971,0,0,0,0,0,0,0,0,,win
Tony Juarez,,1,12,0,,70.31,,,,0.89,25,10.34,38,4.43,100,66,0,,win
Chatt Lavender,,9,7,0,172.72,77.11,,,,0,0,0,0,0,0,0,0,,win
Andrew Sanchez,El Dirte,13,7,0,185.42,83.91,187.96,Orthodox,4/8/1988,4.3,43,5.1,50,2.55,36,100,0,,win
Fiona Muxlow,,6,3,0,162.56,65.77,,,,1.44,27,5.45,34,0,0,0,0,,win
Arman Tsarukyan,Ahalkalakets,21,3,0,170.18,70.31,182.88,Orthodox,10/11/1996,3.85,48,1.91,54,3.4,36,75,0,,win
Randy Costa,The Zohan,6,4,0,175.26,61.23,185.42,Switch,7/6/1994,6.53,46,7.58,58,0,0,50,0,,win
Collin Hart,,6,3,1,185.42,83.91,,Orthodox,10/12/1989,6.33,44,7.53,51,2,16,50,0,,win
Rayanne Amanda,,14,6,0,157.48,52.16,157.48,Orthodox,6/8/1995,3.67,31,6.87,57,1,25,0,0,,win
Luciano Azevedo,,17,9,1,190.5,73.03,,Orthodox,6/25/1981,0.76,45,1.97,27,2.28,11,0,0,,win
Kyle Driscoll,KD,12,3,0,180.34,65.77,187.96,Orthodox,9/23/1994,2.73,32,2.6,58,2,18,0,0,,win
Jasmine Jasudavicius,,9,3,0,170.18,56.7,172.72,Orthodox,3/1/1989,3.54,40,4.41,51,2.17,37,80,0,,draw
Don Carlo-Clauss,,10,7,0,,77.11,,,,1.44,30,7.68,43,0,0,66,0,,loss
Victor Dias,Crazy Horse,11,3,0,167.64,56.7,175.26,Orthodox,12/26/1990,2.87,44,5.8,55,5,41,0,0,,win
Keiichiro Yamamiya,,45,35,10,180.34,83.91,,Southpaw,7/12/1972,0,0,0,0,0,0,0,0,,win
Milana Dudieva,,11,6,0,160.02,61.23,,Orthodox,8/4/1989,0.87,31,3.43,58,2.34,45,0,0,,win
Icho Larenas,,6,5,0,190.5,106.59,,Orthodox,3/12/1980,0.17,15,2.5,28,0,0,14,0,,loss
Dan O'Connor,Johnny Irish,6,6,0,162.56,52.16,,,,4,56,5.1,54,0,0,100,0,,loss
Nikolajus Cilkinas,,2,6,0,,,,Orthodox,,0,0,5.88,16,0,0,0,0,,win
Yuki Sasaki,,25,22,2,187.96,83.91,,Orthodox,9/12/1976,1.09,43,1.2,57,0.43,100,66,0,,loss
Damir Mirenic,Wolf,9,4,0,182.88,83.91,,Orthodox,8/2/1974,0.84,50,9.86,35,0,0,0,0,,win
Dinis Paiva Jr.,Sweetbread,13,8,0,175.26,65.77,180.34,Southpaw,5/26/1988,2.6,41,2.73,67,0,0,81,0,,win
Steve Mensing,The Machine,9,13,2,180.34,83.91,,Orthodox,12/6/1977,0,0,9.51,42,0,0,0,0,,win
Sean Daugherty,,0,2,0,182.88,79.38,,,,0,0,0,0,0,0,0,0,,loss
Nasrudin Nasrudinov,,9,1,0,182.88,92.99,180.34,Orthodox,10/6/1991,1.03,87,0.29,75,2.2,50,40,0,,win
Greg Wilson,,2,3,0,,70.31,,,,0,0,0,0,0,0,0,0,,loss
Junior Albini,Baby,14,6,0,190.5,119.75,187.96,Orthodox,3/15/1991,3.98,51,6.08,52,1.54,37,100,0,,win
Alex Higley,,4,3,0,177.8,65.77,,,,0.29,100,1.74,60,0,0,0,0,,win
Nick Ertl,,8,6,0,175.26,70.31,,,,1.34,69,1.59,41,1.88,50,0,0,,win
John Salgado,Greco,4,8,1,177.8,77.11,,,,0.99,50,1.86,40,0,0,50,0,,win
Ray Routh,,2,1,0,172.72,83.91,,Orthodox,,0.54,21,3.22,28,2.69,33,0,0,,win
Josh Burns,The Hammer,8,10,0,185.42,110.68,,,,2.4,48,5.73,32,0,0,100,0,,win
Patrick Smith,,20,17,0,187.96,102.06,,Orthodox,8/28/1963,0,0,0,0,0,0,0,0,,win
Kyle Kingsbury,Kingsbu,11,6,0,193.04,92.99,200.66,Orthodox,3/22/1982,2.97,40,3.81,51,2.64,41,52,0,,win
Jason DeLucia,,33,21,1,180.34,86.18,,Southpaw,7/24/1969,0,0,0,0,0,0,0,0,,win
Douglas Lima,The Phenom,29,6,0,185.42,77.11,,,,1.92,36,2.84,60,0.6,100,46,0,,win
Bruno Korea,,7,3,0,167.64,61.23,165.1,,,2.12,34,3.96,42,0,0,25,0,,draw
Kerry Vera,,2,0,0,170.18,61.23,,Orthodox,,0,0,0,0,0,0,0,0,,loss
Josh Pulsifer,The Platypus,17,8,0,177.8,65.77,,,,0,0,0,0,0,0,0,0,,win
Mark Climaco,,9,2,0,162.56,56.7,165.1,Southpaw,11/6/1997,4.13,59,2.9,57,3.5,36,46,0,,win
Ismael Bonfim,Marreta,19,4,0,172.72,70.31,180.34,Orthodox,12/28/1995,4.91,57,2.66,76,1.11,28,81,0,,draw
Jesse Murray,Hollywood,8,4,0,190.5,92.99,198.12,Orthodox,1/26/1993,2.38,28,7.72,43,0,0,0,0,,draw
Gilles Arsene,,1,1,0,175.26,86.18,,Southpaw,,0.06,10,2.45,32,0,0,0,0,,win
Steve Judson,,0,2,0,180.34,104.33,,Orthodox,,0,0,0,0,0,0,0,0,,loss
Chibwikem Onyenegecha,,5,0,0,190.5,83.91,,Orthodox,4/18/1994,5.6,55,3.4,52,0,0,100,0,,win
Jonathan Rivera,,4,2,0,,70.31,,,,4.36,49,3.9,60,0,0,0,0,,win
Haven Torres,,0,0,0,,56.7,,,,0,0,0,0,0,0,0,0,,win
Chris Solomon,,0,0,0,180.34,70.31,,,,0,0,2.8,37,0,0,33,0,,win
Santiago Ponzinibbio,Argentine Dagger,30,7,0,182.88,77.11,185.42,Orthodox,9/26/1986,4.9,41,4.67,61,0.48,30,60,0,,win
Robert Densley,The Wrecker,9,10,0,175.26,70.31,,,,1.81,47,0.4,60,0,0,50,0,,win
Rashard Lovelace,,4,1,0,,70.31,,,,0,0,0,0,0,0,0,0,,loss
Leon Aliu,The Albanian Lion,10,2,0,182.88,83.91,187.96,Orthodox,7/14/1989,6.32,50,10.11,38,0,0,0,0,,win
Michel Batista,,4,1,0,190.5,117.93,,Orthodox,4/20/1984,0,0,4.03,40,6.72,50,0,0,,draw
Dustin Joynson,,5,0,0,198.12,110.68,198.12,Orthodox,10/14/1985,3.28,53,5.63,47,0,0,0,0,,win
Dong Hyun Ma,Maestro,16,11,3,180.34,70.31,177.8,Orthodox,9/9/1988,2.84,41,4.1,54,1.27,53,33,0,,loss
Marc Cofer,,7,5,0,,83.91,,,,0,0,0,0,0,0,0,0,,loss
Joe Pardo,,4,6,0,185.42,95.25,,Southpaw,,0,0,0,0,0,0,0,0,,win
Dhafir Harris,Dada 5000,2,0,0,,116.57,,,,0,0,0,0,0,0,0,0,,win
Karine Gevorgyan,The Princess,3,3,0,162.56,56.7,160.02,,,1.2,20,1.8,76,0,0,0,0,,win
Nick Pica,The Silverback,5,1,0,177.8,83.91,,,,0,0,0,0,0,0,0,0,,win
Gennaro Strangis,,0,1,0,,,,,,0,0,0,0,0,0,0,0,,win
Rony Sefo,,0,2,0,175.26,102.06,,Orthodox,,0,0,0.43,0,0,0,0,0,,win
Yan Xiaonan,,17,3,0,165.1,52.16,160.02,Orthodox,6/16/1989,5.55,44,3.56,61,0.86,66,70,0,,draw
Gabe Ruediger,Godzilla,18,8,0,177.8,70.31,,Orthodox,8/29/1977,1.7,31,5.16,41,2.04,11,28,0,,win
Logan Urban,Hulk,5,1,0,182.88,77.11,182.88,Orthodox,4/22/1994,2.55,66,16.6,27,0,0,0,0,,win
TJ Hepburn,The Carnivore,4,2,0,170.18,70.31,,,,0.73,37,0.13,81,2,40,60,0,,draw
Daniel Pereira,Gaucho,9,2,0,177.8,83.91,,,,0,0,0,0,0,0,0,0,,win
Johnny Rees,The Hater Hurter,13,5,0,182.88,77.11,,Orthodox,10/21/1982,3.29,64,0.84,47,1.15,25,50,0,,win
Dwayne Cason,,1,1,0,177.8,96.16,,Orthodox,,0,0,0,0,0,0,0,0,,loss
Josiane Nunes,Josi,10,1,0,157.48,65.77,170.18,Southpaw,12/23/1993,7.22,44,5.85,52,0,0,70,0,,win
Danny Chavez,The Colombian Warrior,11,5,1,172.72,65.77,170.18,Orthodox,3/14/1987,2.86,38,3.83,50,1.95,60,87,0,,win
Marcio Navarro,The Locomotive,14,14,0,182.88,70.31,,,,0,0,0,0,0,0,0,0,,win
Ulysses Gomez,Useless,9,5,0,167.64,56.7,,Orthodox,5/25/1983,2.72,25,3.57,68,0,0,0,0,,win
Rostem Akman,,6,2,0,177.8,77.11,182.88,Switch,12/19/1991,1.8,25,3.97,57,1,40,87,0,,loss
Maria Rios,,2,3,0,165.1,56.7,,,,2.93,34,4.13,56,2,50,100,0,,win
Oron Kahlon,,16,1,0,172.72,61.23,177.8,Orthodox,11/4/1984,0.85,37,4.93,36,0,0,40,0,,win
Rodrigo Lidio,Dynamis,12,3,0,180.34,70.31,185.42,Orthodox,7/7/1989,0.97,50,0,100,0,0,50,0,,win
Jacob Silva,Lil Animal,6,4,0,165.1,56.7,170.18,Orthodox,2/23/1988,4.17,44,4.92,56,1.51,100,66,0,,win
Rudy Bears,,16,15,0,180.34,77.11,,Southpaw,,1.27,29,2.53,50,0,0,0,0,,win
Jacob Noe,Psycho,3,11,0,,92.99,,,,0,0,0,0,0,0,0,0,,win
Anying Wang,,2,1,0,182.88,77.11,,Orthodox,4/4/1991,1.32,26,1.63,44,0,0,33,0,,win
Jerome Rivera,Renegade,10,6,0,177.8,56.7,182.88,Southpaw,4/22/1995,3.21,33,2.6,51,0,0,40,0,,win
Michael Kuiper,,15,5,0,182.88,83.91,185.42,Orthodox,6/7/1989,3.28,54,3.62,54,2.3,55,79,0,,win
Sherrard Blackledge,The Thriller,5,1,0,180.34,70.31,190.5,Orthodox,8/16/1993,3.7,49,3.13,55,4,33,42,0,,win
Teddy Ash,Bear,14,5,0,185.42,83.91,185.42,Switch,12/27/1989,7.27,61,6.8,28,0,0,100,0,,win
Brogan Walker,The Bear,8,4,0,162.56,56.7,170.18,Switch,8/2/1988,2.04,30,3.7,47,0,0,11,0,,loss
Ryan Roberts,,21,12,1,167.64,70.31,,Orthodox,7/16/1978,0,0,22.5,45,0,0,0,0,,win
Carlos Vera,Pequeno,11,3,0,,61.23,,,,0,0,0,0,0,0,0,0,,win
Brandon Wolff,,7,5,0,175.26,77.11,,Orthodox,10/18/1975,0.47,33,10.91,19,0,0,0,0,,win
Bruna Brasil,,9,3,1,167.64,52.16,165.1,Orthodox,9/7/1993,3.44,68,3.94,53,1.86,66,53,0,,win
Eduardo Pamplona,,16,4,0,180.34,77.11,,,,0,0,0,0,0,0,0,0,,win
Ray Wizard,,0,1,0,,,,,,0,0,0,0,0,0,0,0,,win
Ty Flores,Big Medicine,7,3,0,190.5,92.99,185.42,Switch,12/22/1993,2,37,7.8,25,1,9,0,0,,win
John Kelly,,5,4,0,175.26,77.11,,,,0,0,0,0,0,0,0,0,,win
Anton Turkalj,The Pleasure Man,8,3,0,193.04,92.99,198.12,Orthodox,6/10/1996,1.72,53,2.48,49,6.55,51,16,0,,win
Jimmy Lawson,Greedy,4,2,0,182.88,120.2,195.58,Orthodox,11/13/1991,0.07,8,1.6,44,0,0,0,0,,loss
Carls John De Tomas,,6,2,0,165.1,56.7,180.34,Southpaw,8/28/1996,1.74,37,3.93,44,1.37,33,66,0,,loss
Yazan Hajeh,Yazzle Dazzle,6,1,0,175.26,65.77,,Orthodox,9/4/1992,1.54,25,17.44,44,0,0,100,0,,win
Richard Dalton,,4,3,1,185.42,92.99,,Orthodox,,1.2,69,3.27,25,1,11,0,0,,win
Paulo Renato Junior,,12,3,0,182.88,92.99,185.42,Orthodox,1/25/1994,4.89,45,5.18,56,0,0,100,0,,draw
Ricky Calatayud,,16,2,0,175.26,56.7,,,,0,0,0,0,0,0,0,0,,win
Raou Raou,,0,1,0,172.72,88.45,,Orthodox,,2.01,16,6.75,60,0,0,0,0,,win
David Roberts,,5,8,0,185.42,77.11,,Orthodox,11/15/1975,0,0,0,0,0,0,0,0,,win
Alberto Montes,The Promise,4,0,0,170.18,61.23,,,,0,0,0,0,0,0,0,0,,win
Cody Floyd,,2,0,0,,,,,,0,0,0,0,0,0,0,0,,win
Fellipe Andrew,,0,0,0,,,,,,0,0,0,0,0,0,0,0,,win
Colin Fletcher,The Freakshow,14,8,0,187.96,70.31,,Orthodox,1/8/1983,3.1,34,2.97,62,0,0,27,0,,loss
Karla Benitez,,14,11,1,160.02,51.26,,,,0,0,2.4,57,0,0,100,0,,win
Torrance Taylor,,13,8,1,170.18,70.31,,,,0,0,0,0,0,0,0,0,,loss
Nate Schroeder,,11,10,0,185.42,104.33,,,,0,0,0,0,0,0,0,0,,win
Shane Young,Smokin',13,8,0,172.72,65.77,182.88,Orthodox,7/31/1993,5.19,40,5.46,52,0.63,18,64,0,,win
Justin Gonzales,J-Train,6,0,0,175.26,65.77,182.88,Orthodox,4/28/1991,6.67,80,0.87,43,14,73,100,0,,win
Josh Bennett,,11,14,0,193.04,117.48,,Orthodox,,2.9,40,5.8,43,1.5,100,100,0,,win
Waylon Kennell,,6,2,0,182.88,83.91,,,,0,0,0,0,0,0,0,0,,win
Billy Vaughan,,12,17,0,167.64,70.31,,,,0,0,1.36,50,0,0,0,0,,win
Chase Waldon,,11,2,0,185.42,83.91,190.5,Orthodox,9/19/1986,1.03,28,6.72,38,7.76,33,0,0,,loss
Eiji Ishikawa,,29,24,3,177.8,77.11,,,,1.2,29,4.07,60,1,9,0,0,,win
Francisco Trevino,Sitkayan,13,3,0,175.26,70.31,177.8,Orthodox,12/17/1981,2.65,42,2.42,64,0.97,22,41,0,,win
Joe Cason,,9,1,0,190.5,92.99,,,,4.17,55,10.83,23,0,0,0,0,,loss
Sasha Palatnikov,,6,4,0,185.42,77.11,182.88,Switch,3/15/1989,6.69,53,5.44,52,0.72,100,70,0,,win
Kotetsu Boku,,25,11,2,175.26,69.85,,Orthodox,5/27/1977,2.47,42,2.8,53,0,0,0,0,,win
Josh Neal,,5,11,0,182.88,83.91,,,,0,0,0,0,0,0,0,0,,loss
Issa Isakov,Determinator,10,3,0,175.26,70.31,177.8,Orthodox,10/22/1989,1.93,36,5.78,40,0,0,0,0,,draw
Marcelo Mello,,1,0,0,170.18,77.11,,Southpaw,,0,0,0,0,0,0,0,0,,win
Shana Dobson,Danger,4,5,0,167.64,56.7,175.26,Orthodox,3/30/1989,3.34,37,5.2,50,0.84,50,14,0,,win
Justin Tafa,Bad Man,7,3,0,182.88,119.75,187.96,Southpaw,12/13/1993,5.13,55,5.93,49,0,0,100,0,,loss
Jason Reinhardt,,20,3,0,167.64,61.23,,Orthodox,10/31/1969,0.51,40,4.07,43,1.91,12,50,0,,win
John Doyle,The Iron Bull,11,22,0,180.34,92.99,,Orthodox,11/21/1976,3.5,44,10.51,27,0,0,0,0,,win
Jordan Goodwin,,0,0,0,,70.31,,,,0,0,0,0,0,0,0,0,,win
Tai Tuivasa,Bam Bam,15,6,0,187.96,119.75,190.5,Southpaw,3/16/1993,3.98,49,4.98,43,0,0,54,0,,loss
Jerome LeBanner,,3,2,0,190.5,120.2,,Southpaw,12/26/1972,0.92,35,1.03,37,0,0,50,0,,win
Marvin Maldonado,The Bulldog,2,4,0,167.64,61.23,,,,0.87,56,3.47,43,0,0,20,0,,win
Lee Gibson,Lethal,12,4,0,170.18,70.31,,,,0,0,0,0,0,0,0,0,,loss
Jocelyn Jones-Lybarger,,6,4,0,170.18,52.16,162.56,Orthodox,10/4/1985,2.96,31,4.83,56,0.34,25,81,0,,win
Victor Valenzuela,Joe Boxer,13,6,2,177.8,70.31,,,,1.28,100,2.55,0,0,0,0,0,,win
Matt Kovacs,300,12,16,0,182.88,110.68,,Orthodox,,1.47,22,4.87,44,1,25,0,0,,win
Isaac Vallie-Flagg,,16,7,1,172.72,70.31,177.8,Orthodox,4/8/1978,5.56,47,5.6,45,0.2,12,58,0,,loss
Dequan Townsend,The Tarantula,21,12,0,190.5,92.99,200.66,Orthodox,5/11/1986,1.23,34,3.92,38,0,0,46,0,,win
Charon Spain,,14,26,0,175.26,70.31,,,,0,0,0,0,0,0,0,0,,loss
Jason Butcher,,10,2,0,190.5,83.91,,,,1.82,40,2.73,25,13.64,50,0,0,,loss
Turrell Galloway,,8,6,0,160.02,65.77,,,,0,0,0,0,0,0,0,0,,win
Cody Garbrandt,No Love,13,5,0,172.72,61.23,165.1,Orthodox,7/7/1991,3,40,3.89,61,1.13,34,78,0,,win
Ron Fields,Killing,28,32,1,187.96,90.72,,Orthodox,11/18/1974,0.33,33,2.64,11,0,0,0,0,,draw
Kenyon Jackson,,4,3,0,182.88,83.91,,,,0,0,0,0,0,0,0,0,,win
Ivan Cole,JP,2,3,0,175.26,61.23,,,,2.68,36,4.69,46,0,0,0,0,,win
Mike Jackson,The Truth,1,2,0,187.96,77.11,187.96,Orthodox,3/22/1985,4.49,57,3.73,62,0.71,33,88,0,,loss
Yanal Ashmouz,Red Fox,7,1,0,175.26,70.31,172.72,Orthodox,3/31/1995,3.08,42,5.35,59,0.92,50,50,0,,win
Evan Esguerra,,8,7,0,,65.77,,,,0,0,0,0,0,0,0,0,,win
Justin Pennington,,3,3,0,162.56,,,,,0,0,0,0,0,0,0,0,,win
Colleen Schneider,,11,7,0,,61.23,,,,2.17,48,2.5,50,2.5,50,60,0,,win
Miles Johns,Chapo,14,2,0,170.18,61.23,167.64,Orthodox,3/30/1994,3.51,48,2.75,68,1.03,21,85,0,,win
Mike Dolce,Skull Cracker,5,10,0,180.34,83.91,,,,0,0,0,0,0,0,0,0,,win
Bendy Casimir,,20,14,2,165.1,65.77,,Southpaw,6/10/1980,0.74,27,3.42,54,0,0,100,0,,win
Clint Godfrey,,13,3,0,167.64,61.23,,Southpaw,10/21/1982,0.57,31,0.96,65,0.85,25,50,0,,loss
Oban Elliott,The Welsh Gangster,9,2,0,182.88,77.11,182.88,Orthodox,12/19/1997,3.87,44,2.8,61,4,44,0,0,,draw
Scott Junk,,8,3,1,185.42,120.2,,Orthodox,12/17/1978,5.13,60,1.81,45,0,0,0,0,,win
Joel Thomas,The NIce Guy,5,2,0,177.8,77.11,,,,0,0,0,0,0,0,0,0,,win
Nick Newell,Notorious,14,2,0,177.8,70.31,,Southpaw,3/17/1986,3.53,46,4.07,36,0,0,33,0,,win
Sean Lally,The Unpredictable One,7,3,0,182.88,77.11,,Orthodox,11/4/1990,5.34,39,7.23,30,0,0,0,0,,loss
Asbel Cancio,,0,1,0,177.8,102.06,,,,0,0,0,0,0,0,0,0,,win
Marques Daniels,,5,5,0,,70.31,,,,0,0,0,0,0,0,0,0,,win
Brian Cobb,,20,9,0,180.34,70.31,,Orthodox,,0,0,3.68,55,5.81,50,0,0,,win
Christian Uflacker,,5,0,0,180.34,77.11,,,,0,0,0,0,0,0,0,0,,draw
Nick Denis,The Ninja of Love,11,3,0,170.18,61.23,,Orthodox,10/11/1983,6.54,53,5.42,36,2.8,100,80,0,,win
David Gomez,,1,2,0,,70.31,,,,0,0,0,0,0,0,0,0,,loss
Rolando Perez,,7,5,2,172.72,61.23,,Orthodox,,4.23,36,4.83,63,0,0,100,0,,win
Junya Kudo,,10,7,2,,61.23,,Orthodox,,1.85,71,4.44,33,0,0,0,0,,draw
Forrest Petz,The Meat Cleaver,26,10,0,175.26,77.11,180.34,Orthodox,9/22/1975,2.27,29,2.2,57,1.3,100,66,0,,win
Bubba Pugh,,3,3,0,177.8,83.91,,,,2.87,67,2.6,23,4,57,80,0,,loss
Adam Milstead,The Prototype,8,4,0,190.5,92.99,193.04,Orthodox,7/3/1987,3.85,46,4.79,43,0,0,64,0,,win
Tim Roman,,3,4,0,185.42,77.11,,,,0.6,40,2.4,40,1,100,16,0,,win
Jin Soo Son,,9,4,0,167.64,61.23,175.26,Orthodox,4/1/1993,5.1,36,7.63,52,1.5,25,100,0,,win
Haisam Rida,,0,0,0,,,,,,0,0,0,0,0,0,0,0,,loss
Edwin Aguilar,Tigre,26,19,0,177.8,83.91,,,,0,0,0,0,0,0,0,0,,loss
Gary Quan,,3,5,0,172.72,64.86,,,,0,0,0,0,0,0,0,0,,win
Tim Catalfo,Obake,4,2,0,180.34,106.59,,Orthodox,,0.39,100,0.77,33,0,0,0,0,,draw
Jesse Gillespie,,3,2,0,,83.91,,,,0,0,0,0,0,0,0,0,,win
Roy Jones,,7,5,0,,92.99,,,,0,0,0,0,0,0,0,0,,win
Mack Brewer,,0,1,0,,92.99,,,,0,0,6.67,36,0,0,0,0,,loss
Tsuyoshi Tamakairiki,,0,3,0,182.88,99.79,,Orthodox,,0,0,26.67,50,0,0,0,0,,win
JR Coughran,Bam Bam,4,1,0,167.64,65.77,,Orthodox,5/17/1994,12.29,57,6.8,45,0,0,75,0,,loss
Takayuki Okada,Giant Ochiai,3,3,2,185.42,131.54,,Orthodox,,0,0,0,0,0,0,0,0,,win
Joe Wilk,The Nose,19,11,0,175.26,65.77,,,,1,54,2,72,0,0,0,0,,win
Khusein Askhabov,Nohcho,23,1,0,172.72,65.77,175.26,Orthodox,2/13/1995,2,26,4.13,56,0,0,66,0,,win
Joe Camacho,,13,19,3,175.26,70.31,,Orthodox,3/10/1972,0.31,17,5,42,0,0,0,0,,win
Aoriqileng,The Mongolian Murderer,25,10,0,170.18,61.23,175.26,Orthodox,6/25/1993,5.31,50,5.56,50,1.64,46,58,0,,win
Kier Gooch,,2,7,0,,70.31,,,,0,0,0,0,0,0,0,0,,win
Austin Hubbard,Thud,16,7,0,177.8,70.31,180.34,Orthodox,12/22/1991,3.83,46,3.37,56,1.55,52,63,0,,win
Liudvik Sholinian,Palmeyros,9,4,1,177.8,61.23,180.34,Orthodox,1/20/1990,2.5,30,5.67,55,0,0,66,0,,win
Austin Tweedy,,8,2,0,175.26,70.31,,Orthodox,9/25/1990,4.29,66,6.43,0,0,0,0,0,,win
Adrian Serrano,,56,29,4,172.72,77.11,,,,0,0,0,0,0,0,0,0,,win
Jorge de Oliveira,Blade,9,2,0,172.72,70.31,,Orthodox,1/22/1980,1.26,31,4.84,48,0,0,22,0,,loss
Ewerton Teixeira,,3,1,0,185.42,109.77,,,,2,39,3.22,35,0,0,33,0,,win
Wagner Prado,Caldeirao,12,3,0,182.88,92.99,187.96,Southpaw,12/30/1986,1.72,40,3.06,50,0,0,22,0,,win
Tom Aaron,,5,3,0,,70.31,,,,0,0,0,0,0,0,0,0,,win
Ron Sparks,The Monster,8,3,0,195.58,120.2,,,,0,0,0,0,0,0,0,0,,win
Zac Pauga,The Ripper,7,2,0,187.96,92.99,193.04,Orthodox,2/25/1988,4.44,62,2.72,57,0.42,9,100,0,,win
Amber Tackett,,1,3,0,,52.16,,,,0,0,0,0,0,0,0,0,,win
Dimitiri Wanderley,,5,2,0,,92.99,,Orthodox,,0.92,25,4.31,30,1.16,20,0,0,,loss
Henrique Da Silva Lopes,Montanha,5,2,0,190.5,108.86,,,,0,0,0,0,0,0,0,0,,loss
Virgil Zwicker,RezDog,15,6,1,187.96,92.99,187.96,,,3.34,48,4.87,39,1.31,30,50,0,,win
Wade Shipp,The Nightmare,11,5,0,190.5,111.13,,Orthodox,2/9/1975,4.29,86,2.14,0,0,0,75,0,,win
Mike Easton,The Hulk,13,6,0,167.64,61.23,177.8,Southpaw,1/25/1984,3.51,37,4.28,61,0.75,22,66,0,,loss
