name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,match_results
Katsuaki Furuki,,1,1,0,182.88,76.2,,,,0.27,10,2.67,39,0,0,0,3,,draw
Matt Secor,,8,4,0,182.88,77.11,,,,0.51,20,0.81,50,3.03,100,0,3,,win
Danny Mitchell,The Cheesecake Assassin,19,9,1,187.96,77.11,,Orthodox,8/8/1986,2.53,49,2.53,52,0,0,100,3,,win
Adam Piccolotti,,9,0,0,180.34,70.31,,,,4.61,50,2.83,71,2.96,60,100,3,,win
Scott Shaffer,,0,1,0,170.18,65.77,,Orthodox,,2.4,67,0.53,50,0,0,72,3,,loss
Raymond Daniels,,0,1,0,187.96,83.91,,Southpaw,,0,0,2.61,38,0,0,33,3,,loss
Fabiano Iha,,9,5,0,172.72,70.31,,Orthodox,7/28/1970,1.73,47,2.49,42,2.88,40,50,2.9,,win
Jan Nortje,The Giant,2,6,0,185.42,140.61,,Southpaw,4/11/1975,3.32,51,4.5,32,0,0,66,2.9,,loss
Will Ribeiro,,10,2,0,172.72,61.23,,Orthodox,2/17/1983,1.83,28,1.64,74,1.15,100,50,2.9,,win
Anthony Hernandez,Fluffy,11,2,0,182.88,83.91,190.5,Orthodox,10/18/1993,4.33,62,3.36,46,6.79,57,63,2.9,,win
Marcus Jones,The Darkness,4,2,0,198.12,120.2,,Orthodox,8/15/1973,1.94,52,2.71,58,8.71,75,0,2.9,,win
Tatsuro Taira,,14,0,0,170.18,56.7,177.8,Orthodox,1/27/2000,3.23,69,1.26,47,2.41,41,60,2.8,,win
Jason High,The Kansas City Bandit,21,6,0,172.72,70.31,185.42,Southpaw,10/12/1981,1.28,42,1.56,48,2.36,63,37,2.8,,win
Mike Nickels,,9,5,0,193.04,92.99,,Orthodox,12/13/1971,4.44,52,1.11,64,11.11,80,0,2.8,,win
Shaheen Santana,Shazam,6,1,0,185.42,70.31,190.5,Orthodox,6/4/1991,0.82,42,1.65,40,0,0,0,2.8,,win
Sam Patterson,,10,2,1,190.5,70.31,198.12,Orthodox,4/30/1996,2.56,36,3.98,44,0,0,33,2.8,,win
Rei Tsuruya,,8,0,0,167.64,56.7,172.72,Orthodox,6/22/2002,2.91,63,1.64,42,7.74,57,50,2.8,,win
Yoshiyuki Yoshida,Zenko,18,9,0,180.34,77.11,177.8,Southpaw,5/10/1974,0.85,36,3.67,36,1.41,28,25,2.8,,win
Nadia Kassem,,5,2,0,165.1,56.7,167.64,Southpaw,11/15/1995,3.13,41,4.48,48,0.46,33,40,2.8,,win
Rinya Nakamura,Hybred,8,0,0,170.18,61.23,172.72,Southpaw,3/23/1995,4.23,54,1.78,70,4.23,85,100,2.8,,win
Ron Waterman,H20,16,6,2,187.96,127.01,,Orthodox,11/23/1965,0.84,50,1.37,42,4.19,69,50,2.8,,win
