wins,losses,draws,height_cm,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,match_results
18,12,0,185.42,182.88,Orthodox,1.18,36,0.53,70,1.6,100,33,3.2,win
11,0,0,190.5,195.58,Orthodox,2.95,70,2.53,35,3.16,66,100,3.2,win
31,15,0,182.88,185.42,Orthodox,1.94,65,0.55,38,7.28,50,100,3.1,win
0,3,0,187.96,182.88,Orthodox,0.21,25,1.87,60,0,0,0,3.1,loss
9,2,0,187.96,190.5,Orthodox,6.02,50,8.1,33,3.11,100,0,3.1,win
14,2,0,177.8,180.34,Orthodox,2.92,61,2.68,46,3.06,54,0,3.1,win
9,5,0,182.88,182.88,Orthodox,1.58,57,1.97,44,8.88,42,0,3,win
8,4,0,172.72,187.96,Orthodox,0.13,33,0.8,71,3,75,0,3,win
37,10,0,180.34,182.88,Orthodox,1.67,55,0.53,86,1,100,71,3,win
8,0,0,185.42,190.5,Orthodox,3.41,80,0.8,0,3.01,100,0,3,win
1,1,0,182.88,182.88,Orthodox,0.27,10,2.67,39,0,0,0,3,draw
8,4,0,182.88,182.88,Orthodox,0.51,20,0.81,50,3.03,100,0,3,win
19,9,1,187.96,182.88,Orthodox,2.53,49,2.53,52,0,0,100,3,win
9,0,0,180.34,182.88,Orthodox,4.61,50,2.83,71,2.96,60,100,3,win
0,1,0,170.18,182.88,Orthodox,2.4,67,0.53,50,0,0,72,3,loss
0,1,0,187.96,182.88,Southpaw,0,0,2.61,38,0,0,33,3,loss
9,5,0,172.72,182.88,Orthodox,1.73,47,2.49,42,2.88,40,50,2.9,win
2,6,0,185.42,182.88,Southpaw,3.32,51,4.5,32,0,0,66,2.9,loss
10,2,0,172.72,182.88,Orthodox,1.83,28,1.64,74,1.15,100,50,2.9,win
11,2,0,182.88,190.5,Orthodox,4.33,62,3.36,46,6.79,57,63,2.9,win
4,2,0,198.12,182.88,Orthodox,1.94,52,2.71,58,8.71,75,0,2.9,win
14,0,0,170.18,177.8,Orthodox,3.23,69,1.26,47,2.41,41,60,2.8,win
21,6,0,172.72,185.42,Southpaw,1.28,42,1.56,48,2.36,63,37,2.8,win
9,5,0,193.04,182.88,Orthodox,4.44,52,1.11,64,11.11,80,0,2.8,win
6,1,0,185.42,190.5,Orthodox,0.82,42,1.65,40,0,0,0,2.8,win
10,2,1,190.5,198.12,Orthodox,2.56,36,3.98,44,0,0,33,2.8,win
8,0,0,167.64,172.72,Orthodox,2.91,63,1.64,42,7.74,57,50,2.8,win
18,9,0,180.34,177.8,Southpaw,0.85,36,3.67,36,1.41,28,25,2.8,win
5,2,0,165.1,167.64,Southpaw,3.13,41,4.48,48,0.46,33,40,2.8,win
8,0,0,170.18,172.72,Southpaw,4.23,54,1.78,70,4.23,85,100,2.8,win
16,6,2,187.96,182.88,Orthodox,0.84,50,1.37,42,4.19,69,50,2.8,win
